year,type,region_name,10th_share,10th_share_zero
2022,City,Ленинградская область,45,0.55
2022,City,Липецкая область,48,0.52
2022,City,Магаданская область,45,0.55
2022,City,Москва,71,0.29
2022,City,Московская область,46,0.54
2022,City,Мурманская область,41,0.59
2022,City,Ненецкий автономный округ,56,0.44
2022,City,Нижегородская область,47,0.53
2022,City,Новгородская область,41,0.59
2022,City,Новосибирская область,53,0.47
2022,City,Омская область,44,0.56
2022,City,Оренбургская область,40,0.6
2022,City,Орловская область,48,0.52
2022,City,Пензенская область,48,0.52
2022,City,Пермский край,43,0.57
2022,City,Приморский край,53,0.47
2022,City,Псковская область,49,0.51
2022,City,Республика Адыгея,43,0.57
2022,City,Республика Алтай,51,0.49
2022,City,Республика Башкортостан,43,0.57
2022,City,Республика Бурятия,55,0.45
2022,City,Республика Дагестан,38,0.62
2022,City,Республика Ингушетия,52,0.48
2022,City,Республика Калмыкия,59,0.41
2022,City,Республика Карелия,56,0.44
2022,City,Республика Коми,49,0.51
2022,City,Республика Крым,51,0.49
2022,City,Республика Марий Эл,40,0.6
2022,City,Республика Мордовия,46,0.54
2022,City,Республика Саха (Якутия),62,0.38
2022,City,Республика Северная Осетия — Алания,49,0.51
2022,City,Республика Татарстан,46,0.54
2022,City,Республика Тыва,63,0.37
2022,City,Республика Хакасия,48,0.52
2022,City,Ростовская область,45,0.55
2022,City,Рязанская область,49,0.51
2022,City,Самарская область,45,0.55
2022,City,Санкт-Петербург,64,0.36
2022,City,Саратовская область,51,0.49
2022,City,Сахалинская область,57,0.43
2022,City,Свердловская область,45,0.55
2022,City,Севастополь,53,0.47
2022,City,Смоленская область,51,0.49
2022,City,Ставропольский край,45,0.55
2022,City,Тамбовская область,47,0.53
2022,City,Тверская область,46,0.54
2022,City,Томская область,61,0.39
2022,City,Тульская область,51,0.49
2022,City,Тюменская область,70,0.3
2022,City,Удмуртская Республика,40,0.6
2022,City,Ульяновская область,46,0.54
2022,City,Хабаровский край,47,0.53
2022,City,Ханты-Мансийский автономный округ — Югра,57,0.43
2022,City,Челябинская область,42,0.58
2022,City,Чеченская Республика,45,0.55
2022,City,Чувашская Республика — Чувашия,40,0.6
2022,City,Чукотский автономный округ,65,0.35
2022,City,Ямало-Ненецкий автономный округ,57,0.43
2022,City,Ярославская область,48,0.52
2023,City,Алтайский край,46,0.54
2023,City,Амурская область,42,0.58
2023,City,Архангельская область,46,0.54
2023,City,Астраханская область,41,0.59
2023,City,Белгородская область,39,0.61
2023,City,Брянская область,48,0.52
2023,City,Владимирская область,42,0.58
2023,City,Волгоградская область,46,0.54
2023,City,Вологодская область,38,0.62
2023,City,Воронежская область,49,0.51
2023,City,Еврейская автономная область,51,0.49
2023,City,Забайкальский край,44,0.56
2023,City,Ивановская область,44,0.56
2023,City,Иркутская область,50,0.5
2023,City,Кабардино-Балкарская Республика,55,0.45
2023,City,Калининградская область,47,0.53
2023,City,Калужская область,47,0.53
2023,City,Камчатский край,47,0.53
2023,City,Карачаево-Черкесская Республика,40,0.6
2023,City,Кемеровская область,36,0.64
2023,City,Кировская область,46,0.54
2023,City,Костромская область,46,0.54
2023,City,Краснодарский край,46,0.54
2023,City,Красноярский край,56,0.44
2023,City,Курганская область,42,0.58
2023,City,Курская область,45,0.55
2023,City,Ленинградская область,44,0.56
2023,City,Липецкая область,45,0.55
2023,City,Магаданская область,40,0.6
2023,City,Москва,70,0.3
2023,City,Московская область,45,0.55
2023,City,Мурманская область,40,0.6
2023,City,Ненецкий автономный округ,47,0.53
2023,City,Нижегородская область,45,0.55
2023,City,Новгородская область,40,0.6
2023,City,Новосибирская область,51,0.49
2023,City,Омская область,42,0.58
2023,City,Оренбургская область,35,0.65
2023,City,Орловская область,47,0.53
2023,City,Пензенская область,47,0.53
2023,City,Пермский край,42,0.58
2023,City,Приморский край,51,0.49
2023,City,Псковская область,45,0.55
2023,City,Республика Адыгея,44,0.56
2023,City,Республика Алтай,49,0.51
2023,City,Республика Башкортостан,42,0.58
2023,City,Республика Бурятия,53,0.47
2023,City,Республика Дагестан,37,0.63
2023,City,Республика Ингушетия,49,0.51
2023,City,Республика Калмыкия,55,0.45
2023,City,Республика Карелия,54,0.46
2023,City,Республика Коми,49,0.51
2023,City,Республика Крым,50,0.5
2023,City,Республика Марий Эл,41,0.59
2023,City,Республика Мордовия,47,0.53
2023,City,Республика Саха (Якутия),60,0.4
2023,City,Республика Северная Осетия — Алания,49,0.51
2023,City,Республика Татарстан,44,0.56
2023,City,Республика Тыва,64,0.36
2023,City,Республика Хакасия,46,0.54
2023,City,Ростовская область,44,0.56
2023,City,Рязанская область,48,0.52
2023,City,Самарская область,44,0.56
2023,City,Санкт-Петербург,62,0.38
2023,City,Саратовская область,49,0.51
2023,City,Сахалинская область,57,0.43
2023,City,Свердловская область,42,0.58
2023,City,Севастополь,51,0.49
2023,City,Смоленская область,49,0.51
2023,City,Ставропольский край,44,0.56
2023,City,Тамбовская область,47,0.53
2023,City,Тверская область,45,0.55
2023,City,Томская область,58,0.42
2023,City,Тульская область,49,0.51
2023,City,Тюменская область,68,0.32
2023,City,Удмуртская Республика,39,0.61
2023,City,Ульяновская область,46,0.54
2023,City,Хабаровский край,47,0.53
2023,City,Ханты-Мансийский автономный округ — Югра,55,0.45
2023,City,Челябинская область,42,0.58
2023,City,Чеченская Республика,41,0.59
2023,City,Чувашская Республика — Чувашия,38,0.62
2023,City,Чукотский автономный округ,58,0.42
2023,City,Ямало-Ненецкий автономный округ,55,0.45
2023,City,Ярославская область,47,0.53
